api_fixture_id,api_kickoff_utc,api_round,api_status_short,api_status_long,api_elapsed,api_home_team_id,api_home_team_name,api_away_team_id,api_away_team_name,api_match_label,api_home_goals,api_away_goals,api_venue_name,api_venue_city
1489369,2026-06-11T19:00:00+00:00,Group Stage - 1,NS,Not Started,,16,Mexico,1531,South Africa,Mexico x South Africa,,,Estadio Azteca,Mexico City
1538999,2026-06-12T02:00:00+00:00,Group Stage - 1,NS,Not Started,,17,South Korea,770,Czech Republic,South Korea x Czech Republic,,,Estadio Akron,Guadalajara
1539000,2026-06-12T19:00:00+00:00,Group Stage - 1,NS,Not Started,,5529,Canada,1113,Bosnia & Herzegovina,Canada x Bosnia & Herzegovina,,,BMO Field,Toronto
1489370,2026-06-13T01:00:00+00:00,Group Stage - 1,NS,Not Started,,2384,USA,2380,Paraguay,USA x Paraguay,,,SoFi Stadium,Los Angeles
1489373,2026-06-13T19:00:00+00:00,Group Stage - 1,NS,Not Started,,1569,Qatar,15,Switzerland,Qatar x Switzerland,,,Levi's Stadium,San Francisco Bay Area
1489371,2026-06-13T22:00:00+00:00,Group Stage - 1,NS,Not Started,,6,Brazil,31,Morocco,Brazil x Morocco,,,MetLife Stadium,New York New Jersey
1489372,2026-06-14T01:00:00+00:00,Group Stage - 1,NS,Not Started,,2386,Haiti,1108,Scotland,Haiti x Scotland,,,Gillette Stadium,Boston
1539001,2026-06-14T04:00:00+00:00,Group Stage - 1,NS,Not Started,,20,Australia,777,Türkiye,Australia x Türkiye,,,BC Place,Vancouver
1489374,2026-06-14T17:00:00+00:00,Group Stage - 1,NS,Not Started,,25,Germany,5530,Curaçao,Germany x Curaçao,,,NRG Stadium,Houston
1489376,2026-06-14T20:00:00+00:00,Group Stage - 1,NS,Not Started,,1118,Netherlands,12,Japan,Netherlands x Japan,,,AT&T Stadium,Dallas
1489375,2026-06-14T23:00:00+00:00,Group Stage - 1,NS,Not Started,,1501,Ivory Coast,2382,Ecuador,Ivory Coast x Ecuador,,,Lincoln Financial Field,Philadelphia
1539002,2026-06-15T02:00:00+00:00,Group Stage - 1,NS,Not Started,,5,Sweden,28,Tunisia,Sweden x Tunisia,,,Estadio BBVA,Monterrey
1489380,2026-06-15T16:00:00+00:00,Group Stage - 1,NS,Not Started,,9,Spain,1533,Cape Verde Islands,Spain x Cape Verde Islands,,,Mercedes-Benz Stadium,Atlanta
1489377,2026-06-15T19:00:00+00:00,Group Stage - 1,NS,Not Started,,1,Belgium,32,Egypt,Belgium x Egypt,,,Lumen Field,Seattle
1489379,2026-06-15T22:00:00+00:00,Group Stage - 1,NS,Not Started,,23,Saudi Arabia,7,Uruguay,Saudi Arabia x Uruguay,,,Hard Rock Stadium,Miami
1489378,2026-06-16T01:00:00+00:00,Group Stage - 1,NS,Not Started,,22,Iran,4673,New Zealand,Iran x New Zealand,,,SoFi Stadium,Los Angeles
1489383,2026-06-16T19:00:00+00:00,Group Stage - 1,NS,Not Started,,2,France,13,Senegal,France x Senegal,,,MetLife Stadium,New York New Jersey
1539016,2026-06-16T22:00:00+00:00,Group Stage - 1,NS,Not Started,,1567,Iraq,1090,Norway,Iraq x Norway,,,Gillette Stadium,Boston
1489381,2026-06-17T01:00:00+00:00,Group Stage - 1,NS,Not Started,,26,Argentina,1532,Algeria,Argentina x Algeria,,,Arrowhead Stadium,Kansas City
1489382,2026-06-17T04:00:00+00:00,Group Stage - 1,NS,Not Started,,775,Austria,1548,Jordan,Austria x Jordan,,,Levi's Stadium,San Francisco Bay Area
1539003,2026-06-17T17:00:00+00:00,Group Stage - 1,NS,Not Started,,27,Portugal,1508,Congo DR,Portugal x Congo DR,,,NRG Stadium,Houston
1489384,2026-06-17T20:00:00+00:00,Group Stage - 1,NS,Not Started,,10,England,3,Croatia,England x Croatia,,,AT&T Stadium,Dallas
1489385,2026-06-17T23:00:00+00:00,Group Stage - 1,NS,Not Started,,1504,Ghana,11,Panama,Ghana x Panama,,,BMO Field,Toronto
1489386,2026-06-18T02:00:00+00:00,Group Stage - 1,NS,Not Started,,1568,Uzbekistan,8,Colombia,Uzbekistan x Colombia,,,Estadio Azteca,Mexico City
1539004,2026-06-18T16:00:00+00:00,Group Stage - 2,NS,Not Started,,770,Czech Republic,1531,South Africa,Czech Republic x South Africa,,,Mercedes-Benz Stadium,Atlanta
1539005,2026-06-18T19:00:00+00:00,Group Stage - 2,NS,Not Started,,15,Switzerland,1113,Bosnia & Herzegovina,Switzerland x Bosnia & Herzegovina,,,SoFi Stadium,Los Angeles
1489387,2026-06-18T22:00:00+00:00,Group Stage - 2,NS,Not Started,,5529,Canada,1569,Qatar,Canada x Qatar,,,BC Place,Vancouver
1489388,2026-06-19T01:00:00+00:00,Group Stage - 2,NS,Not Started,,16,Mexico,17,South Korea,Mexico x South Korea,,,Estadio Akron,Guadalajara
1489391,2026-06-19T19:00:00+00:00,Group Stage - 2,NS,Not Started,,2384,USA,20,Australia,USA x Australia,,,Lumen Field,Seattle
1489390,2026-06-19T22:00:00+00:00,Group Stage - 2,NS,Not Started,,1108,Scotland,31,Morocco,Scotland x Morocco,,,Gillette Stadium,Boston
1489389,2026-06-20T00:30:00+00:00,Group Stage - 2,NS,Not Started,,6,Brazil,2386,Haiti,Brazil x Haiti,,,Lincoln Financial Field,Philadelphia
1539006,2026-06-20T03:00:00+00:00,Group Stage - 2,NS,Not Started,,777,Türkiye,2380,Paraguay,Türkiye x Paraguay,,,Levi's Stadium,San Francisco Bay Area
1539007,2026-06-20T17:00:00+00:00,Group Stage - 2,NS,Not Started,,1118,Netherlands,5,Sweden,Netherlands x Sweden,,,NRG Stadium,Houston
1489393,2026-06-20T20:00:00+00:00,Group Stage - 2,NS,Not Started,,25,Germany,1501,Ivory Coast,Germany x Ivory Coast,,,BMO Field,Toronto
1489392,2026-06-21T00:00:00+00:00,Group Stage - 2,NS,Not Started,,2382,Ecuador,5530,Curaçao,Ecuador x Curaçao,,,Arrowhead Stadium,Kansas City
1489394,2026-06-21T04:00:00+00:00,Group Stage - 2,NS,Not Started,,28,Tunisia,12,Japan,Tunisia x Japan,,,Estadio BBVA,Monterrey
1489397,2026-06-21T16:00:00+00:00,Group Stage - 2,NS,Not Started,,9,Spain,23,Saudi Arabia,Spain x Saudi Arabia,,,Mercedes-Benz Stadium,Atlanta
1489395,2026-06-21T19:00:00+00:00,Group Stage - 2,NS,Not Started,,1,Belgium,22,Iran,Belgium x Iran,,,SoFi Stadium,Los Angeles
1489398,2026-06-21T22:00:00+00:00,Group Stage - 2,NS,Not Started,,7,Uruguay,1533,Cape Verde Islands,Uruguay x Cape Verde Islands,,,Hard Rock Stadium,Miami
1489396,2026-06-22T01:00:00+00:00,Group Stage - 2,NS,Not Started,,4673,New Zealand,32,Egypt,New Zealand x Egypt,,,BC Place,Vancouver
1489399,2026-06-22T17:00:00+00:00,Group Stage - 2,NS,Not Started,,26,Argentina,775,Austria,Argentina x Austria,,,AT&T Stadium,Dallas
1539017,2026-06-22T21:00:00+00:00,Group Stage - 2,NS,Not Started,,2,France,1567,Iraq,France x Iraq,,,Lincoln Financial Field,Philadelphia
1489401,2026-06-23T00:00:00+00:00,Group Stage - 2,NS,Not Started,,1090,Norway,13,Senegal,Norway x Senegal,,,MetLife Stadium,New York New Jersey
1489400,2026-06-23T03:00:00+00:00,Group Stage - 2,NS,Not Started,,1548,Jordan,1532,Algeria,Jordan x Algeria,,,Levi's Stadium,San Francisco Bay Area
1489404,2026-06-23T17:00:00+00:00,Group Stage - 2,NS,Not Started,,27,Portugal,1568,Uzbekistan,Portugal x Uzbekistan,,,NRG Stadium,Houston
1489402,2026-06-23T20:00:00+00:00,Group Stage - 2,NS,Not Started,,10,England,1504,Ghana,England x Ghana,,,Gillette Stadium,Boston
1489403,2026-06-23T23:00:00+00:00,Group Stage - 2,NS,Not Started,,11,Panama,3,Croatia,Panama x Croatia,,,BMO Field,Toronto
1539008,2026-06-24T02:00:00+00:00,Group Stage - 2,NS,Not Started,,8,Colombia,1508,Congo DR,Colombia x Congo DR,,,Estadio Akron,Guadalajara
1489408,2026-06-24T19:00:00+00:00,Group Stage - 3,NS,Not Started,,15,Switzerland,5529,Canada,Switzerland x Canada,,,BC Place,Vancouver
1539009,2026-06-24T19:00:00+00:00,Group Stage - 3,NS,Not Started,,1113,Bosnia & Herzegovina,1569,Qatar,Bosnia & Herzegovina x Qatar,,,Lumen Field,Seattle
1489405,2026-06-24T22:00:00+00:00,Group Stage - 3,NS,Not Started,,31,Morocco,2386,Haiti,Morocco x Haiti,,,Mercedes-Benz Stadium,Atlanta
1489406,2026-06-24T22:00:00+00:00,Group Stage - 3,NS,Not Started,,1108,Scotland,6,Brazil,Scotland x Brazil,,,Hard Rock Stadium,Miami
1489407,2026-06-25T01:00:00+00:00,Group Stage - 3,NS,Not Started,,1531,South Africa,17,South Korea,South Africa x South Korea,,,Estadio BBVA,Monterrey
1539010,2026-06-25T01:00:00+00:00,Group Stage - 3,NS,Not Started,,770,Czech Republic,16,Mexico,Czech Republic x Mexico,,,Estadio Azteca,Mexico City
1489409,2026-06-25T20:00:00+00:00,Group Stage - 3,NS,Not Started,,5530,Curaçao,1501,Ivory Coast,Curaçao x Ivory Coast,,,Lincoln Financial Field,Philadelphia
1489410,2026-06-25T20:00:00+00:00,Group Stage - 3,NS,Not Started,,2382,Ecuador,25,Germany,Ecuador x Germany,,,MetLife Stadium,New York New Jersey
1489412,2026-06-25T23:00:00+00:00,Group Stage - 3,NS,Not Started,,28,Tunisia,1118,Netherlands,Tunisia x Netherlands,,,Arrowhead Stadium,Kansas City
1539011,2026-06-25T23:00:00+00:00,Group Stage - 3,NS,Not Started,,12,Japan,5,Sweden,Japan x Sweden,,,AT&T Stadium,Dallas
1489411,2026-06-26T02:00:00+00:00,Group Stage - 3,NS,Not Started,,2380,Paraguay,20,Australia,Paraguay x Australia,,,Levi's Stadium,San Francisco Bay Area
1539012,2026-06-26T02:00:00+00:00,Group Stage - 3,NS,Not Started,,777,Türkiye,2384,USA,Türkiye x USA,,,SoFi Stadium,Los Angeles
1489416,2026-06-26T19:00:00+00:00,Group Stage - 3,NS,Not Started,,1090,Norway,2,France,Norway x France,,,Gillette Stadium,Boston
1539074,2026-06-26T19:00:00+00:00,Group Stage - 3,NS,Not Started,,13,Senegal,1567,Iraq,Senegal x Iraq,,,BMO Field,Toronto
1489413,2026-06-27T00:00:00+00:00,Group Stage - 3,NS,Not Started,,1533,Cape Verde Islands,23,Saudi Arabia,Cape Verde Islands x Saudi Arabia,,,NRG Stadium,Houston
1489417,2026-06-27T00:00:00+00:00,Group Stage - 3,NS,Not Started,,7,Uruguay,9,Spain,Uruguay x Spain,,,Estadio Akron,Guadalajara
1489414,2026-06-27T03:00:00+00:00,Group Stage - 3,NS,Not Started,,32,Egypt,22,Iran,Egypt x Iran,,,Lumen Field,Seattle
1489415,2026-06-27T03:00:00+00:00,Group Stage - 3,NS,Not Started,,4673,New Zealand,1,Belgium,New Zealand x Belgium,,,BC Place,Vancouver
1489420,2026-06-27T21:00:00+00:00,Group Stage - 3,NS,Not Started,,3,Croatia,1504,Ghana,Croatia x Ghana,,,Lincoln Financial Field,Philadelphia
1489422,2026-06-27T21:00:00+00:00,Group Stage - 3,NS,Not Started,,11,Panama,10,England,Panama x England,,,MetLife Stadium,New York New Jersey
1489419,2026-06-27T23:30:00+00:00,Group Stage - 3,NS,Not Started,,8,Colombia,27,Portugal,Colombia x Portugal,,,Hard Rock Stadium,Miami
1539013,2026-06-27T23:30:00+00:00,Group Stage - 3,NS,Not Started,,1508,Congo DR,1568,Uzbekistan,Congo DR x Uzbekistan,,,Mercedes-Benz Stadium,Atlanta
1489418,2026-06-28T02:00:00+00:00,Group Stage - 3,NS,Not Started,,1532,Algeria,775,Austria,Algeria x Austria,,,Arrowhead Stadium,Kansas City
1489421,2026-06-28T02:00:00+00:00,Group Stage - 3,NS,Not Started,,1548,Jordan,26,Argentina,Jordan x Argentina,,,AT&T Stadium,Dallas
