internal_match_id,match_key,official_match_no,display_order,phase,group_code,bracket_label,internal_home_label,internal_away_label,internal_match_label,kickoff_utc,lock_at_utc,status,home_score,away_score,result_source,api_fixture_id,api_home_team_id,api_away_team_id,api_mapping_status,api_mapping_note,predictions_count
1,fifa_world_cup_2026_group_a_match_1,1,1,group,A,,México,África do Sul,México x África do Sul,2026-06-11T19:00:00+00:00,2026-06-11T19:00:00+00:00,scheduled,,,,,,,,,11
2,fifa_world_cup_2026_group_a_match_2,2,2,group,A,,República da Coreia,República Tcheca,República da Coreia x República Tcheca,2026-06-12T02:00:00+00:00,2026-06-12T02:00:00+00:00,scheduled,,,,,,,,,11
7,fifa_world_cup_2026_group_b_match_1,3,3,group,B,,Canadá,Bósnia e Herzegovina,Canadá x Bósnia e Herzegovina,2026-06-12T19:00:00+00:00,2026-06-12T19:00:00+00:00,scheduled,,,,,,,,,11
19,fifa_world_cup_2026_group_d_match_1,4,4,group,D,,Estados Unidos,Paraguai,Estados Unidos x Paraguai,2026-06-13T01:00:00+00:00,2026-06-13T01:00:00+00:00,scheduled,,,,,,,,,11
8,fifa_world_cup_2026_group_b_match_2,5,5,group,B,,Catar,Suíça,Catar x Suíça,2026-06-13T19:00:00+00:00,2026-06-13T19:00:00+00:00,scheduled,,,,,,,,,11
13,fifa_world_cup_2026_group_c_match_1,6,6,group,C,,Brasil,Marrocos,Brasil x Marrocos,2026-06-13T22:00:00+00:00,2026-06-13T22:00:00+00:00,scheduled,,,,,,,,,11
14,fifa_world_cup_2026_group_c_match_2,7,7,group,C,,Haiti,Escócia,Haiti x Escócia,2026-06-14T01:00:00+00:00,2026-06-14T01:00:00+00:00,scheduled,,,,,,,,,11
20,fifa_world_cup_2026_group_d_match_2,8,8,group,D,,Austrália,Turquia,Austrália x Turquia,2026-06-14T04:00:00+00:00,2026-06-14T04:00:00+00:00,scheduled,,,,,,,,,11
25,fifa_world_cup_2026_group_e_match_1,9,9,group,E,,Alemanha,Curaçau,Alemanha x Curaçau,2026-06-14T17:00:00+00:00,2026-06-14T17:00:00+00:00,scheduled,,,,,,,,,11
31,fifa_world_cup_2026_group_f_match_1,10,10,group,F,,Holanda,Japão,Holanda x Japão,2026-06-14T20:00:00+00:00,2026-06-14T20:00:00+00:00,scheduled,,,,,,,,,11
26,fifa_world_cup_2026_group_e_match_2,11,11,group,E,,Costa do Marfim,Equador,Costa do Marfim x Equador,2026-06-14T23:00:00+00:00,2026-06-14T23:00:00+00:00,scheduled,,,,,,,,,10
32,fifa_world_cup_2026_group_f_match_2,12,12,group,F,,Suécia,Tunísia,Suécia x Tunísia,2026-06-15T02:00:00+00:00,2026-06-15T02:00:00+00:00,scheduled,,,,,,,,,10
43,fifa_world_cup_2026_group_h_match_1,13,13,group,H,,Espanha,Cabo Verde,Espanha x Cabo Verde,2026-06-15T16:00:00+00:00,2026-06-15T16:00:00+00:00,scheduled,,,,,,,,,10
37,fifa_world_cup_2026_group_g_match_1,14,14,group,G,,Bélgica,Egito,Bélgica x Egito,2026-06-15T19:00:00+00:00,2026-06-15T19:00:00+00:00,scheduled,,,,,,,,,10
